Player name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
Tricky Defector,DDDDDDDDDD,38,35,10,3.8,3.5,1,FALSE,0,0,0,7,3,0,0,0,0,0,7,0,2,0
Tricky Level Punisher,CCDDDDDDDD,35,25,10,3.5,2.5,1,TRUE,2,1,1,6,2,1,0,0,1,0,6,0,1,0
Tullock: 11,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Two Tits For Tat,CCDDCDDCCC,29,5,10,2.9,0.5,1,TRUE,6,3,3,4,0,3,0,0,2,2,2,0,0,0
UsuallyCooperates,CCCDCCDCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,3,2,2,0,2,0,0,0,1
UsuallyDefects,DDCDDDDDDD,36,30,10,3.6,3,1,FALSE,1,1,0,6,3,0,1,0,0,0,6,1,1,0
VeryBad,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Weiner,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
White,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Willing,DCCCCCCCCC,23,-10,10,2.3,-1,0,FALSE,9,6,3,1,0,6,0,2,0,1,0,0,0,1
Winner12,CCDDDCCCCC,26,0,10,2.6,0,0,TRUE,7,5,2,2,1,5,0,0,1,0,2,1,0,1
