Player name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
Soft Go By Majority: 20,CCCCCCCDCC,17,-20,10,1.7,-2,0,TRUE,9,4,5,1,0,4,0,3,1,1,0,0,0,1
Soft Go By Majority: 40,CCCCCCCDCC,17,-20,10,1.7,-2,0,TRUE,9,4,5,1,0,4,0,3,1,1,0,0,0,1
Soft Go By Majority: 5,CCCCCCDDDD,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,2,1,0,2,0,1,1
$\phi$,CDDCDCCCCC,19,-10,10,1.9,-1,0,TRUE,7,4,3,1,2,2,2,2,0,0,1,2,0,1
Graaskamp: 0.05,CCCDCDDDCC,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,0,2,2,0,0,2,1
GraaskampKatzen,CCCDCDDDCC,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,0,2,2,0,0,2,1
Gradual,CCCDCCDDCC,20,-10,10,2,-1,0,TRUE,7,3,4,2,1,3,0,1,2,2,0,0,1,1
"Gradual Killer: (D, D, D, D, D, C, C)",DDDDDCCDDD,28,15,10,2.8,1.5,1,FALSE,2,0,2,5,3,0,0,1,1,0,5,1,1,0
Grofman,CCCDCDDCCC,19,-10,10,1.9,-1,0,TRUE,7,4,3,1,2,4,0,0,2,1,0,1,1,1
Grudger,CCCDDDDDDD,25,10,10,2.5,1,1,TRUE,3,2,1,3,4,2,0,0,1,0,3,0,3,0
GrudgerAlternator,CCCDCDCDCD,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,2,1,0,3,2,0,1,0,1
"Grumpy: Nice, 10, -10",CCCCCCCCCC,15,-25,10,1.5,-2.5,0,TRUE,10,5,5,0,0,5,0,4,0,0,0,0,0,1
Handshake,CDDDDDDDDD,28,20,10,2.8,2,1,TRUE,1,1,0,4,5,0,1,0,0,0,4,0,4,0
Hard Go By Majority,DCCCCCDDDC,22,-5,10,2.2,-0.5,0,FALSE,6,2,4,3,1,2,0,2,1,2,1,0,1,1
Hard Go By Majority: 10,DCCCCCDDDC,22,-5,10,2.2,-0.5,0,FALSE,6,2,4,3,1,2,0,2,1,2,1,0,1,1
Hard Go By Majority: 20,DCCCCCDDDC,22,-5,10,2.2,-0.5,0,FALSE,6,2,4,3,1,2,0,2,1,2,1,0,1,1
Hard Go By Majority: 40,DCCCCCDDDC,22,-5,10,2.2,-0.5,0,FALSE,6,2,4,3,1,2,0,2,1,2,1,0,1,1
Hard Go By Majority: 5,DCCCCCDDDD,23,0,10,2.3,0,0,FALSE,5,2,3,3,2,2,0,2,1,1,2,0,1,1
Hard Prober,DDCCCDDDCC,23,0,10,2.3,0,0,FALSE,5,2,3,3,2,2,0,1,1,2,1,0,2,1
Hard Tit For 2 Tats,CCCCCCDDDC,20,-10,10,2,-1,0,TRUE,7,3,4,2,1,3,0,2,1,1,1,0,1,1
Hard Tit For Tat,CCCDDDDDDD,25,10,10,2.5,1,1,TRUE,3,2,1,3,4,2,0,0,1,0,3,0,3,0
Harrington,CCCDCDDCCC,19,-10,10,1.9,-1,0,TRUE,7,4,3,1,2,4,0,0,2,1,0,1,1,1
Hesitant QLearner,CCCCCCCCCC,15,-25,10,1.5,-2.5,0,TRUE,10,5,5,0,0,5,0,4,0,0,0,0,0,1
Hopeless,CDCCDCCCDC,20,-10,10,2,-1,0,TRUE,7,3,4,2,1,0,3,3,0,2,0,1,0,1
Inverse,CCCDDDDDCC,22,0,10,2.2,0,0,TRUE,5,3,2,2,3,3,0,0,1,1,1,0,3,1
Inverse Punisher,CCCDDDDDDD,25,10,10,2.5,1,1,TRUE,3,2,1,3,4,2,0,0,1,0,3,0,3,0
Joss: 0.9,CCCDCDDDDC,23,0,10,2.3,0,0,TRUE,5,2,3,3,2,2,0,0,2,2,1,0,2,1
Kluepfel,CCCDDCCDCC,20,-10,10,2,-1,0,TRUE,7,3,4,2,1,3,0,1,2,1,1,1,0,1
